inventor_id,name,country
fl:mi_ln:hufen-1,Michael Hufen,
fl:su_ln:chun-22,Sung Duck Chun,
fl:al_ln:goldner-1,Alla Goldner,
fl:sh_ln:sato-30,Shinichi Sato,JP
fl:fr_ln:klose-1,Frank Klose,
fl:jo_ln:zupan-1,Joseph Zupan,
fl:mi_ln:anson-1,Michael J. Anson,US
fl:ki_ln:suzuki-35,Kiyoshi Suzuki,
fl:yo_ln:kimura-10,Youichi Kimura,
fl:em_ln:cooper-4,Emanuel I. Cooper,US
fl:lu_ln:michas-2,Luke William Michas,US
fl:ch_ln:obosu-1,Charles B. Obosu,
fl:we_ln:schiffman-1,Wendela Schiffman,
fl:ch_ln:cao-111,Chong Cao,
fl:al_ln:brooker-1,Alan Thomas Brooker,
fl:no_ln:nambu-1,Nobuyoshi Nambu,
fl:te_ln:tang-13,Teng-Yen Tang,
fl:jo_ln:heinke-1,Joel Heinke,
fl:mo_ln:soni-3,Mohit Soni,IN
fl:ka_ln:prevratil-1,Karyne Poissant Prevratil,
fl:ge_ln:lysy-1,George C. Lysy,US
fl:jo_ln:panigot-1,Joseph E. Panigot,US
fl:ke_ln:chan-25,Kevin K. Chan,
fl:ta_ln:fukuoka-15,Takahiro Fukuoka,
fl:fe_ln:schreder-2,Felix Schreder,
fl:yu_ln:tanaka-37,Yuji Tanaka,
fl:ni_ln:damour-2,Nicole Miller Damour,US
fl:wi_ln:patterson-6,William R. Patterson,
fl:ko_ln:kaplanis-1,Kostas Kaplanis,
fl:to_ln:nagano-7,Toshihiko Nagano,JP
fl:de_ln:babin-2,Denis Babin,CA
fl:ho_ln:chen-206,Hongkai CHEN,
fl:co_ln:gardner-1,Cornel Lewis Gardner,
fl:in_ln:stuckert-1,Ines C. Stuckert,
fl:de_ln:wong-19,Denny Wong,CA
000rzeceuzox3ciyjtnl2qzx0,Johannes Adrianes Maria Dofferhoff,
fl:sh_ln:saito-18,Shinji Saito,JP
fl:sh_ln:tsuda-23,Shingo Tsuda,JP
fl:ja_ln:lewin-2,Jason Lewin,US
fl:yo_ln:namizuka-1,Yoshiyuki Namizuka,JP
fl:ke_ln:fukushima-16,Keisuke Fukushima,
000s9qy0x4l3x4n99bv2a1qn4,April A. Barbour,
fl:je_ln:bernard-11,Jean-Rene Bernard,
fl:se_ln:schmitt-3,Sebastian Schmitt,
fl:ku_ln:ulmer-2,Kurt Ulmer,
fl:ig_ln:skvirsky-1,Igor Skvirsky,
fl:da_ln:wilson-62,David Matthew Wilson,
fl:se_ln:chae-30,Seung Wan Chae,
fl:sr_ln:komarneni-1,Sridhar Komarneni,
fl:ro_ln:caruso-3,Robert Caruso,
fl:th_ln:loga-1,Thomas Henry Loga,
fl:jo_ln:priede-1,Jonas Calleja PRIEDE,
fl:pu_ln:shah-11,Pulkit Shah,
fl:ma_ln:imafuku-2,Masayuki Imafuku,
fl:da_ln:basulto-1,David Basulto,
fl:mi_ln:huang-125,Ming-Zheng Huang,
fl:xi_ln:wu-313,Xin Wu,
fl:so_ln:carlson-1,Sonia P. Carlson,
fl:ro_ln:waggener-1,Robert G. Waggener,
fl:ka_ln:sawada-27,Kazuhide Sawada,
fl:ju_ln:sauer-5,Jude S. Sauer,US
fl:ro_ln:brill-2,Robert Brill,
fl:ka_ln:fink-4,Kaitlin Elizabeth FINK,
fl:po_ln:lin-79,Po-Kang Lin,
