patent_id,inventor_id,company_id
11752034,1,
8467046,0,
7691916,3,
6875302,1,
6182829,2,
11849333,2,
6744555,1,
6727530,0,
8891757,0,
6130339,1,
12170516,3,
7445535,0,
12294557,6,
7176482,1,
11200001,0,
8138906,0,
11164582,4,
D973188,1,
10737201,0,
7334832,2,
4478854,2,6b83cbcb-58c5-4d78-affb-8bdfb97b6625
8578213,8,
7949504,2,
6074365,4,
8281849,1,
5461129,0,
8970347,4,
7889479,1,
11880699,0,
10503937,0,
6547428,0,
5487492,0,
7684618,0,
4981354,4,
8379733,1,
4685043,0,
7814627,0,
5702192,2,
11748605,0,
6451756,4,
8536640,2,
10143082,7,
6711061,2,
8861805,2,
9374782,0,
9401034,1,
10312077,0,
9000172,3,
6526603,0,
H1629,1,
10799057,2,
11297473,3,
D651901,1,
4624718,0,
11858335,2,
11033704,11,
5686048,4,
10135530,0,
7605868,1,
11048251,0,
11683876,1,
D941377,0,
D685523,2,
6470688,0,
9804104,2,
8183049,0,
7669981,5,
10386831,5,
4370716,0,
12256254,1,
5212291,0,
6134196,4,
10014593,0,
10715587,0,
8936824,0,
7125453,1,
8587858,1,
8829232,5,
D539249,0,
11238011,0,
9696434,1,
9899323,1,
12285700,7,
8581975,0,
6112872,0,
10817504,1,
8038224,0,
6079094,2,
8513677,1,
12140533,4,
6882459,0,
9406553,1,
4415356,0,
8058096,3,
D1069693,1,
10555253,3,
4417433,0,
12422933,3,
6829064,1,
4358193,0,
11568058,3,
10833003,3,
D715731,3,
12072400,4,
5733853,0,
7325424,0,
9285282,4,
6571360,4,
6879181,0,
5699210,1,
5166644,0,
6111387,6,
11016488,5,
10088300,4,
D797220,1,
7798229,1,
10721030,3,
10019139,0,
10400694,1,
7226443,1,
8282725,3,
4683221,1,
9683981,0,
11753782,2,
6524003,1,
9994947,1,
10143973,2,
9357799,0,
9729175,0,
5882901,0,
10572986,5,
6413765,0,
5423877,0,
6136010,4,
7894636,0,
11926988,2,
4119690,1,
12096814,0,
11026259,1,
12043843,1,
5934666,1,
D687968,6,
7715186,1,
6654876,1,
11239375,1,
5560959,5,
6943162,3,
4417032,1,
4161218,3,
12533485,1,
5333155,0,
8483695,0,
4604710,6,
6015684,0,
10760646,2,
9824518,1,
6822125,1,
7997236,0,
6239628,2,
7677566,1,
5389627,2,
D1082312,0,
8633571,2,
8288846,3,
7331016,1,
8718877,1,
6518982,5,
10233722,3,
10024117,0,
9589597,5,
10035882,3,
D989916,1,
4304677,1,
D968956,6,
10255806,0,
10291035,1,
7632875,1,
11563440,5,
12181490,5,
9706451,0,
5771017,2,
11374586,0,
8574940,0,
5773764,0,
4648850,1,
5444072,8,
RE33264,3,
5100577,1,
D574706,2,
8333756,1,
5177042,1,
11873762,3,
7791846,0,
11098911,1,
6281367,5,
10381204,0,
6788131,0,
8994987,0,
11516910,2,
9199466,0,
D651095,4,
5560845,3,
10040763,2,
10605223,0,
8991538,2,
7265819,0,
4240054,1,
4066353,0,
6226998,1,
11593234,0,
9733602,0,
12376914,4,
7562712,3,
8522951,0,
10155859,2,
9660179,2,
7253447,2,
6915198,1,
10550077,0,
10237625,1,
10254068,0,
9611966,1,
7103844,1,
9407380,1,
7268024,2,
8228226,4,
5571687,0,
8132835,2,
10488650,5,
12534665,8,
5822312,1,
10440821,2,
12483028,0,
11640951,0,
7477871,0,
7293600,0,
6266683,3,
11468481,1,
9162210,2,
5838552,1,
6599957,3,
8723061,1,
8412533,0,
8820812,0,
11605051,0,
4842195,1,
7961061,0,
4028181,2,
9577182,1,
11242609,2,
10959330,1,
7027746,0,
12476400,1,
9528761,3,
12403843,2,
D1039710,4,
7144495,1,
7810262,0,
10022899,1,
7805565,2,
6703181,3,
6770269,1,
10267903,1,
11798551,8,
9559578,0,
7214446,0,
10614561,0,
D904229,0,
D797636,0,
5023265,0,
11562229,1,
6959780,3,
10280135,0,
8332894,1,
6135586,2,
9326055,1,
11959488,6,
